flagged_field,flag_reason,dish_id,ingr_id,ingr_name,grams,calories,fat,carb,protein
carb,top 10 observed carb; retained because value is non-negative and numeric,dish_1551389458,ingr_0000000057,lemon,7974.0,2312.46,23.922,717.66,87.714
carb,top 10 observed carb; retained because value is non-negative and numeric,dish_1551567573,ingr_0000000012,olives,7974.0,9170.1,853.218,502.362,63.792
carb,top 10 observed carb; retained because value is non-negative and numeric,dish_1551567604,ingr_0000000012,olives,7974.0,9170.1,853.218,502.362,63.792
carb,top 10 observed carb; retained because value is non-negative and numeric,dish_1551567508,ingr_0000000012,olives,7974.0,9170.1,853.218,502.362,63.792
carb,top 10 observed carb; retained because value is non-negative and numeric,dish_1551381990,ingr_0000000014,asparagus,3324.0,678.096,3.324,129.636,73.128
carb,top 10 observed carb; retained because value is non-negative and numeric,dish_1551382149,ingr_0000000014,asparagus,3324.0,678.096,3.324,129.636,73.128
carb,top 10 observed carb; retained because value is non-negative and numeric,dish_1551382179,ingr_0000000014,asparagus,3324.0,678.096,3.324,129.636,73.128
protein,top 10 observed protein; retained because value is non-negative and numeric,dish_1563304925,ingr_0000000028,chicken,381.502258,629.4787257,13.734081288,0.0,118.26569998
protein,top 10 observed protein; retained because value is non-negative and numeric,dish_1563304958,ingr_0000000028,chicken,381.502258,629.4787257,13.734081288,0.0,118.26569998
protein,top 10 observed protein; retained because value is non-negative and numeric,dish_1563304881,ingr_0000000028,chicken,381.502258,629.4787257,13.734081288,0.0,118.26569998
protein,top 10 observed protein; retained because value is non-negative and numeric,dish_1563305047,ingr_0000000028,chicken,381.502258,629.4787257,13.734081288,0.0,118.26569998
protein,top 10 observed protein; retained because value is non-negative and numeric,dish_1563305005,ingr_0000000028,chicken,381.502258,629.4787257,13.734081288,0.0,118.26569998
protein,top 10 observed protein; retained because value is non-negative and numeric,dish_1563305083,ingr_0000000028,chicken,381.502258,629.4787257,13.734081288,0.0,118.26569998
protein,top 10 observed protein; retained because value is non-negative and numeric,dish_1565203094,ingr_0000000028,chicken,341.431946,563.3627109,12.291550056,0.0,105.84390326
protein,top 10 observed protein; retained because value is non-negative and numeric,dish_1565203015,ingr_0000000028,chicken,341.431946,563.3627109,12.291550056,0.0,105.84390326
protein,top 10 observed protein; retained because value is non-negative and numeric,dish_1568401018,ingr_0000000028,chicken,334.0,551.1,12.024,0.0,103.54
protein,top 10 observed protein; retained because value is non-negative and numeric,dish_1568401064,ingr_0000000028,chicken,334.0,551.1,12.024,0.0,103.54
