flagged_field,flag_reason,dish_id,dish_text,total_grams,total_calories,total_fat,total_carb,total_protein,ingredient_count,named_ingredient_count,split,calorie_class_id,calorie_class
total_fat,top 10 observed total_fat; retained as a legitimate extreme unless demonstrably invalid,dish_1566931674,"chicken, mixed greens, avocado, broccoli, parmesan cheese, olive oil, olives",531.0,990.989,76.803,23.14,58.402,7,7,train,2,High Calorie
total_carb,top 10 observed total_carb; retained as a legitimate extreme unless demonstrably invalid,dish_1560974769,"spinach (raw), tortilla chips, corn, cheese, white rice, cherry tomatoes, lime, tomatoes, chili, garlic, salt, sour cream, onions, black beans",3051.0,3943.325124922,10.976545888,844.5686922220001,83.749605355,14,14,train,2,High Calorie
total_carb,top 10 observed total_carb; retained as a legitimate extreme unless demonstrably invalid,dish_1551389588,"corn, avocado, lemon",8054.0,2400.78,27.552,732.3,90.182,3,3,train,2,High Calorie
total_carb,top 10 observed total_carb; retained as a legitimate extreme unless demonstrably invalid,dish_1551389551,"corn, lemon, avocado",8054.0,2400.78,27.552,732.3,90.182,3,3,train,2,High Calorie
total_carb,top 10 observed total_carb; retained as a legitimate extreme unless demonstrably invalid,dish_1551389458,lemon,7974.0,2312.46,23.922,717.66,87.714,1,1,train,2,High Calorie
total_carb,top 10 observed total_carb; retained as a legitimate extreme unless demonstrably invalid,dish_1551567573,"olives, sausage, ham",8094.0,9485.816,875.5409999999999,506.079,87.785,3,3,train,2,High Calorie
total_carb,top 10 observed total_carb; retained as a legitimate extreme unless demonstrably invalid,dish_1551567604,"ham, sausage, olives",8094.0,9485.816,875.5409999999999,506.079,87.785,3,3,test,2,High Calorie
total_carb,top 10 observed total_carb; retained as a legitimate extreme unless demonstrably invalid,dish_1551567508,olives,7974.0,9170.1,853.218,502.362,63.792,1,1,train,2,High Calorie
total_carb,top 10 observed total_carb; retained as a legitimate extreme unless demonstrably invalid,dish_1551382149,"oatmeal, asparagus, white rice",3435.0,782.096,4.372,150.316,75.93,3,3,train,2,High Calorie
total_carb,top 10 observed total_carb; retained as a legitimate extreme unless demonstrably invalid,dish_1551382179,"asparagus, white rice, oatmeal",3435.0,782.096,4.372,150.316,75.93,3,3,train,2,High Calorie
total_carb,top 10 observed total_carb; retained as a legitimate extreme unless demonstrably invalid,dish_1551381990,asparagus,3324.0,678.096,3.324,129.636,73.128,1,1,train,2,High Calorie
total_protein,top 10 observed total_protein; retained as a legitimate extreme unless demonstrably invalid,dish_1563305083,"chili, lettuce, shallots, broccoli, olive oil, parsley, chicken, blue cheese, beef, mixed greens, salt, carrot, walnuts, thyme, spinach (raw), eggplant, white rice, pepper, garlic, mustard, lemon juice, kale, wheat berry, green onions, soy sauce, orange juice, onions, tofu, vinegar",900.999986,1234.8564313870002,56.759742604,32.056345904,147.49180104299998,29,29,train,2,High Calorie
total_protein,top 10 observed total_protein; retained as a legitimate extreme unless demonstrably invalid,dish_1563305047,"salt, broccoli, parsley, lemon juice, kale, green onions, orange juice, wheat berry, eggplant, tofu, pepper, beef, soy sauce, garlic, shallots, chili, onions, thyme, olive oil, vinegar, spinach (raw), carrot, chicken, white rice",805.9999879999999,1032.311997747,36.693318555000005,28.700218115,143.492503313,24,24,test,2,High Calorie
total_protein,top 10 observed total_protein; retained as a legitimate extreme unless demonstrably invalid,dish_1563305005,"carrot, beef, chicken, wheat berry, tofu, spinach (raw), vinegar, onions, thyme, olive oil, broccoli, salt, garlic, soy sauce, white rice, orange juice, parsley, kale, lemon juice, pepper, shallots, chili, green onions",719.999985,1003.948853283,35.681553099000006,23.725708163,142.649366033,23,23,train,2,High Calorie
total_protein,top 10 observed total_protein; retained as a legitimate extreme unless demonstrably invalid,dish_1563304958,"garlic, shallots, beef, white rice, orange juice, spinach (raw), chili, wheat berry, thyme, olive oil, green onions, kale, lemon juice, broccoli, soy sauce, tofu, chicken, vinegar, parsley, onions, salt",613.9999879999999,951.841008553,34.427448795000004,13.26985014,141.707579244,21,21,train,2,High Calorie
total_protein,top 10 observed total_protein; retained as a legitimate extreme unless demonstrably invalid,dish_1563304925,"chili, white rice, soy sauce, orange juice, onions, parsley, olive oil, thyme, green onions, beef, wheat berry, chicken, spinach (raw), lemon juice, kale, vinegar, broccoli, garlic, salt, shallots",507.999988,874.4610085529999,29.339448795,11.25585014,133.227579244,20,20,train,2,High Calorie
total_protein,top 10 observed total_protein; retained as a legitimate extreme unless demonstrably invalid,dish_1563304881,"garlic, chicken, spinach (raw), thyme, wheat berry, olive oil, lemon juice, parsley, salt, shallots",445.999985,739.4076473330001,21.64953768,8.843341794,120.443958727,10,10,train,2,High Calorie
total_protein,top 10 observed total_protein; retained as a legitimate extreme unless demonstrably invalid,dish_1568318408,"mixed greens, chicken, broccoli, steak",563.0,907.12,43.208,9.175,117.906,4,4,train,2,High Calorie
total_protein,top 10 observed total_protein; retained as a legitimate extreme unless demonstrably invalid,dish_1568318480,"mixed greens, chicken, olive oil, steak, broccoli",587.0,1119.28,67.208,9.175,117.906,5,5,train,2,High Calorie
total_protein,top 10 observed total_protein; retained as a legitimate extreme unless demonstrably invalid,dish_1564170010,"tortilla, cucumbers, tatsoi, kale, cilantro, tomatoes, chili, zucchini, pepper, thyme, cheese, salmon, parsley, lemon juice, onions, olive oil, broccoli, garlic, salt, squash, brown rice, chicken thighs, arugula",831.0,1264.548337676,61.893874233000005,57.291944961,116.862579038,23,23,test,2,High Calorie
total_protein,top 10 observed total_protein; retained as a legitimate extreme unless demonstrably invalid,dish_1565203094,"rosemary, parsley, garlic, chicken, pizza, salt, chive, lemon juice, chard, basil, olive oil, brown rice",484.999998,898.0196020400001,27.678382098,37.983810283,116.735559948,12,12,train,2,High Calorie
